0,125.1,15.133,78.638,110.32,65.513,55.803,103.95,69.462,82.976,81.025,40.2,30.414,25.495,23.259,38.275,83.6,96.167
125.1,0,136.69,65.924,24.739,117.21,69.34,176.03,71.589,91.679,70.064,111.4,141.95,124.48,138.19,88.617,195.75,171.03
15.133,136.69,0,93.343,120.25,62.008,67.535,92.455,84.214,98.061,86.533,39.56,16.971,38.275,10,52.173,68.469,84.646
78.638,65.924,93.343,0,67.007,106.68,40.224,164,9.2195,28.16,78.237,87.316,105.08,67.543,99,42.107,161,157.1
110.32,24.739,120.25,67.007,0,93.904,55.606,152.03,69.721,95.021,46.098,90.874,123.31,114.28,120.37,77.104,175.31,147.28
65.513,117.21,62.008,106.68,93.904,0,66.648,59.841,100.12,125.5,48.052,26,51.662,88.6,54.452,71.421,87.618,54.148
55.803,69.34,67.535,40.224,55.606,66.648,0,124.92,34.655,62.426,42.72,49.497,74.465,59.059,69.893,21.932,130.05,118.3
103.95,176.03,92.455,164,152.03,59.841,124.92,0,156.59,179.39,106,76.922,75.604,129.42,82.462,124.91,64.777,7.8102
69.462,71.589,84.214,9.2195,69.721,100.12,34.655,156.59,0,28.636,75.18,79.706,96.187,58.592,90.022,33.377,152.01,149.56
82.976,91.679,98.061,28.16,95.021,125.5,62.426,179.39,28.636,0,103.77,102.9,112.64,64.008,105.77,54.644,166.37,172.04
81.025,70.064,86.533,78.237,46.098,48.052,42.72,106,75.18,103.77,0,50.249,84.853,94.366,83.738,61.074,132.48,101.18
40.2,111.4,39.56,87.316,90.874,26,49.497,76.922,79.706,102.9,50.249,0,34.713,62.626,34.482,48.26,84.504,69.857
30.414,141.95,16.971,105.08,123.31,51.662,74.465,75.604,96.187,112.64,84.853,34.713,0,55,7.2111,63.008,56.143,67.801
25.495,124.48,38.275,67.543,114.28,88.6,59.059,129.42,58.592,64.008,94.366,62.626,55,0,47.802,37.216,104.12,121.63
23.259,138.19,10,99,120.37,54.452,69.893,82.462,90.022,105.77,83.738,34.482,7.2111,47.802,0,57.079,62,74.653
38.275,88.617,52.173,42.107,77.104,71.421,21.932,124.91,33.377,54.644,61.074,48.26,63.008,37.216,57.079,0,119.04,117.65
83.6,195.75,68.469,161,175.31,87.618,130.05,64.777,152.01,166.37,132.48,84.504,56.143,104.12,62,119.04,0,59.908
96.167,171.03,84.646,157.1,147.28,54.148,118.3,7.8102,149.56,172.04,101.18,69.857,67.801,121.63,74.653,117.65,59.908,0
